caseName,IVT,U925,V925,WS925,WD925,LTS
ish_20060117,301.7285238257242,-7.97068,-2.5957904,8.382712,71.96124267578125,17.70300000000003
ish_20060118,244.173377644197,-1.5018655,5.1085534,5.3247457,163.61717987060547,15.075999999999965
ish_20060119,243.0759990475071,-1.1379589,5.039416,5.166301,167.2753677368164,15.258000000000038
ish_20060123,342.0894010267798,-7.894693,-9.447521,12.311857,39.88334655761719,19.220000000000027
ish_20060124,243.21645453368515,-7.2972007,-5.2895913,9.012709,54.062408447265625,18.188999999999965
ish_20060127,220.21199041478246,-4.4057584,-7.5726724,8.761054,30.190711975097656,18.66500000000002
ish_20060128,220.79637510663463,-7.4639206,-2.6538513,7.9216814,70.42677307128906,19.447000000000003
ish_20060129,154.18397797509726,-4.5477257,0.35745904,4.5617523,94.49430847167969,17.224000000000046
ish_20060201,265.50916988086107,1.2601653,-9.200784,9.286681,352.20113372802734,19.188999999999965
ish_20060202,76.78872970041797,-3.4805825,-4.7698016,5.9046984,36.118682861328125,23.399999999999977
ish_20060204,227.45928975299387,-3.6700952,-8.174838,8.960892,24.177696228027344,16.795000000000016
ish_20060205,154.4458869875939,-8.064656,-1.8195404,8.26737,77.28584289550781,14.39100000000002
ish_20060207,211.01717494931702,-5.2516437,-7.7826295,9.388774,34.01109313964844,15.015000000000043
ish_20060209,169.5813743546388,-3.4124117,-6.6966205,7.515935,27.002120971679688,18.25999999999999
ish_20060210,152.71390997454444,-1.7355691,1.224898,2.1242824,125.21298217773438,15.216999999999985
ish_20060212,204.82191468092898,-7.544065,-8.990654,11.736472,40.000030517578125,13.034000000000049
ish_20060213,168.2358772666867,-7.0704193,1.4451855,7.216605,101.55207824707031,14.385000000000048
ish_20060214,206.34291236188756,-2.67237,5.188814,5.836553,152.7504119873047,15.409999999999968
ish_20060215,167.11518908600362,-2.0665255,5.813305,6.1696873,160.43062591552734,14.761000000000024
ish_20060217,273.38836923499247,-4.969541,-9.944991,11.1175165,26.551437377929688,16.625
ish_20060220,184.6036649132628,-3.0926971,-5.109464,5.972554,31.186004638671875,17.802999999999997
ish_20060221,146.6772170773763,-3.6383467,-4.518295,5.801082,38.84266662597656,16.39100000000002
ish_20060227,353.32365386687303,-6.336268,-9.1684,11.144857,34.648292541503906,12.692000000000007
ish_20060303,163.09687907646116,-4.892073,-3.6271904,6.090065,53.4451904296875,15.807999999999993
ish_20060304,104.97009183533308,-7.089475,0.33944193,7.0975966,92.74122619628906,17.69599999999997
ish_20060307,136.31804102761538,-2.9805822,0.9809711,3.1378615,108.21745300292969,13.15100000000001
ish_20060308,255.54785636679574,-3.8273773,5.8096447,6.9570675,146.62322998046875,11.819000000000017
ish_20060310,138.42414787465617,-0.27872112,-2.02946,2.0485098,7.819938659667969,19.613
ish_20060311,60.91656090153842,-3.255517,3.1258533,4.513242,133.83596801757812,15.006000000000029
ish_20060314,192.99074851727713,-3.9171312,-5.7912354,6.9915895,34.073997497558594,19.497000000000014
ish_20060315,174.7463398048027,-5.0664253,-1.0257087,5.169211,78.55502319335938,19.543000000000006
ish_20060316,397.971107070162,4.652182,7.5167565,8.839933,211.7537078857422,16.89100000000002
ish_20060317,244.52220917404475,-6.854587,0.6448888,6.884856,95.37464904785156,18.752999999999986
ish_20060319,294.2041912475072,-5.2717724,-8.688143,10.162451,31.248443603515625,21.456999999999994
ish_20060329,85.55770123188299,-1.7033905,-5.3765273,5.6399097,17.5792236328125,16.699000000000012
ish_20060330,51.987114782637235,-1.2626666,-1.0928819,1.6699455,49.12266540527344,15.913000000000011
ish_20060331,103.04346422948457,-4.5464134,3.5614357,5.775266,128.0734100341797,14.396000000000015
ish_20060401,300.1477354597227,-1.3911456,9.441601,9.543538,171.61823272705078,18.76600000000002
ish_20060403,226.04676461110975,-5.570801,0.8313773,5.632496,98.48809814453125,18.95799999999997
ish_20060404,387.9596515586562,2.5009995,8.857404,9.203728,195.7677001953125,14.52800000000002
ish_20060407,278.82649826125385,-0.16646247,-5.1899343,5.192603,1.8370742797851562,16.62099999999998
ish_20060408,85.61888516863324,-6.0174584,0.62702364,6.0500383,95.94879150390625,16.666999999999973
ish_20060409,243.65862015136895,-6.10774,8.139861,10.176534,143.11730194091797,18.790999999999997
ish_20060410,608.6733207894986,-0.8804455,13.066021,13.095651,176.1449966430664,16.019000000000005
ish_20060412,496.2395683652531,0.93721986,9.941644,9.985723,185.38548278808594,19.595000000000027
ish_20060417,220.49199161259514,-7.442148,-0.99563533,7.508453,82.38002014160156,17.192999999999984
ish_20060420,231.95035484922386,-6.890162,-7.622187,10.274827,42.11235046386719,16.245000000000005
ish_20060421,110.16562861432256,-4.593674,0.10471705,4.5948677,91.30589294433594,16.838000000000022
ish_20060422,484.9174908279487,1.8175436,9.466622,9.639523,190.86825561523438,15.672000000000025
ish_20060425,163.93649086245043,-5.7444444,0.3289615,5.7538557,93.27752685546875,17.539999999999964
ish_20061004,389.9323059508073,0.5219575,-10.408887,10.421966,357.12928009033203,14.747000000000014
ish_20061010,148.74805200738297,-3.0822134,-3.9258423,4.99122,38.13575744628906,16.745000000000005
ish_20061011,180.68223738918633,-5.2552695,-1.9280707,5.5977955,69.85273742675781,16.041999999999973
ish_20061016,229.49779961767186,-5.487127,-2.040632,5.8542924,69.60011291503906,11.064999999999998
ish_20061017,85.42796523170954,-3.0268214,-1.8139977,3.5287726,59.065399169921875,14.329999999999984
ish_20061019,208.62366884200523,-6.293007,-3.3650274,7.1362,61.86546325683594,15.269000000000005
ish_20061021,143.73524881141836,-2.8955243,-3.298275,4.388927,41.27958679199219,14.760999999999967
ish_20061022,127.07856763193497,-3.428747,1.5300026,3.7546256,114.04777526855469,15.174999999999955
ish_20061108,133.5883281679059,-4.8021293,-0.72305876,4.85626,81.437255859375,13.308999999999969
ish_20061109,128.0640915638497,-4.4509063,-2.1215832,4.930688,64.51457214355469,13.648000000000025
ish_20061113,106.19545868000057,-4.0121155,2.2060401,4.5786114,118.80397033691406,16.77600000000001
ish_20061116,351.09544703248287,-10.396069,-0.06641654,10.39628,89.63395690917969,14.361999999999966
ish_20061117,264.54360835675845,-9.892342,-2.1798654,10.129671,77.57295227050781,13.629999999999995
ish_20061118,287.48333363947313,3.5672019,2.4318388,4.317264,235.71690368652344,14.357000000000028
ish_20061123,304.44481731598756,1.1683654,-2.3216271,2.599044,333.2860450744629,14.187000000000012
ish_20061125,132.7411636891717,-4.4738836,-1.702015,4.7866993,69.17149353027344,13.836999999999989
ish_20061126,186.4424794028801,-0.44174683,3.7803051,3.8060277,173.33494567871094,11.738
ish_20061216,372.7502521173236,-7.963548,-5.2911153,9.561067,56.399261474609375,15.123000000000047
ish_20061224,127.24853336259677,-6.22732,-2.938224,6.8856864,64.74073791503906,15.671999999999969
ish_20061225,195.5090534697609,6.8184686,-5.035068,8.47605,306.44384765625,12.753999999999962
ish_20061226,77.02074106736931,0.82883507,-3.214884,3.320007,345.5432815551758,16.210999999999956
ish_20061231,200.45447115829342,-9.319835,-2.9532788,9.776563,72.41757202148438,12.959000000000003
ish_20070101,290.1657223073293,-7.2699647,1.5853149,7.440807,102.30155944824219,12.437000000000012
ish_20070105,179.07586281852156,1.1184903,-5.856706,5.962552,349.1880645751953,14.670000000000016
ish_20070114,206.93517092095553,-5.5386963,-8.1625595,9.864306,34.1588134765625,10.514999999999986
ish_20070115,216.27368565962942,-9.508115,0.4077367,9.516853,92.45552062988281,15.613999999999976
ish_20070116,163.9428922589022,-6.611057,3.634679,7.5443335,118.80148315429688,18.471000000000004
ish_20070125,159.1385760396227,-3.1212683,-5.876269,6.6537848,27.975662231445312,13.643000000000029
